feature,importance_mean,importance_std,dataset,model
PC3_Tumor_Enhancement,0.00976138828633405,0.0011881183459982207,PC_90,SVM
PC1_Tumor_Enhancement_Texture,0.008568329718004353,0.0020261975805064576,PC_90,SVM
PC3_FGT_Enhancement_Texture,0.008568329718004319,0.00102320836573284,PC_90,SVM
PC1_FGT_Enhancement_Texture,0.008351409978308022,0.0019432183153111706,PC_90,SVM
PC2_FGT_Enhancement_Texture,0.008351409978308012,0.0010900082018569389,PC_90,SVM
PC1_FGT_Enhancement,0.007592190889370909,0.001940189134490065,PC_90,SVM
PC2_FGT_Enhancement,0.005965292841648595,0.0012126182090562636,PC_90,SVM
PC1_Tumor_Enhancement,0.005639913232104121,0.0015940280321799308,PC_90,SVM
PC4_FGT_Enhancement_Texture,0.0054229934924078125,0.0009700945672450357,PC_90,SVM
PC7_Tumor_Enhancement_Texture,0.0050976138828633276,0.0014591783131316551,PC_90,SVM
PC7_FGT_Enhancement_Texture,0.0045553145336225676,0.0011681485481853731,PC_90,SVM
PC5_FGT_Enhancement,0.004446854663774413,0.0007592190889371146,PC_90,SVM
PC1_Tumor_Size_and_Morphology,0.004446854663774402,0.001567986149110746,PC_90,SVM
PC2_FGT_Enhancement_Variation,0.004121475054229939,0.0006507592190889699,PC_90,SVM
PC2_Tumor_Enhancement_Texture,0.004121475054229917,0.0018660141577099096,PC_90,SVM
PC1_FGT_Enhancement_Variation,0.0033622559652928263,0.0018438177874186654,PC_90,SVM
PC6_FGT_Enhancement,0.003362255965292815,0.0010232083657328458,PC_90,SVM
PC3_FGT_Enhancement,0.003362255965292804,0.0009009353430497042,PC_90,SVM
PC4_Tumor_Enhancement_Texture,0.003253796095444661,0.0014551418508675577,PC_90,SVM
PC3_Tumor_Enhancement_Texture,0.003253796095444661,0.0017488628521255092,PC_90,SVM
PC7_FGT_Enhancement,0.003253796095444661,0.000970094567245048,PC_90,SVM
PC2_Tumor_Enhancement,0.0031453362255965066,0.001409978308026042,PC_90,SVM
PC1_Breast_and_FGT_Volume_Features,0.0027114967462038785,0.0009999505918972945,PC_90,SVM
PC5_FGT_Enhancement_Texture,0.0023861171366594157,0.002158324158582688,PC_90,SVM
PC6_Tumor_Enhancement_Texture,0.002386117136659405,0.0015184381778741817,PC_90,SVM
PC4_FGT_Enhancement_Variation,0.0022776572668112395,0.00032537960954446275,PC_90,SVM
PC4_FGT_Enhancement,0.0021691973969631072,0.0014551418508675495,PC_90,SVM
PC6_FGT_Enhancement_Texture,0.0021691973969631072,0.0014551418508675495,PC_90,SVM
PC2_Tumor_Enhancement_Variation,0.0021691973969630964,0.0008401265393074795,PC_90,SVM
PC8_FGT_Enhancement_Texture,0.002169197396963085,0.0004850472836225054,PC_90,SVM
PC3_Tumor_Size_and_Morphology,0.0018438177874186335,0.00119305856832972,PC_90,SVM
PC1_Combining_Tumor_and_FGT_Enhancement,0.0015184381778741707,0.0017622642960164639,PC_90,SVM
PC4_Tumor_Enhancement,0.0014099783080260054,0.0006944820214135287,PC_90,SVM
PC1_Tumor_Enhancement_Variation,0.0011930585683296968,0.0009009353430496668,PC_90,SVM
PC3_Tumor_Enhancement_Variation,0.0011930585683296968,0.000584074274092669,PC_90,SVM
PC3_FGT_Enhancement_Variation,0.0011930585683296968,0.0003253796095444628,PC_90,SVM
PC2_Tumor_Enhancement_Spatial_Heterogeneity,0.0009761388286333883,0.000584074274092669,PC_90,SVM
PC1_Tumor_Enhancement_Spatial_Heterogeneity,0.000867678958785234,0.0006507592190889256,PC_90,SVM
PC4_Combining_Tumor_and_FGT_Enhancement,0.000867678958785234,0.0006507592190889255,PC_90,SVM
PC2_Tumor_Size_and_Morphology,0.0007592190889370798,0.0006944820214135287,PC_90,SVM
PC3_Combining_Tumor_and_FGT_Enhancement,0.0006507592190889255,0.0005313426773933047,PC_90,SVM
PC2_Breast_and_FGT_Volume_Features,0.00032537960954446275,0.0004970255634442254,PC_90,SVM
PC5_Tumor_Enhancement_Texture,0.00032537960954446275,0.0012878895972925932,PC_90,SVM
PC2_Combining_Tumor_and_FGT_Enhancement,-0.0005422993492407713,0.0005422993492407712,PC_90,SVM
Peak_SER_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
tissueVol_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_moment_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
SER_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.2,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
breastDensity_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Prominence_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Uptake_rate_from_char_curv,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Correlation2_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Correlation2_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,0.0,0.0,CL_UNCORR,SVM
Cluster_Prominence_tissue_T1,0.0,0.0,CL_UNCORR,SVM
inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Energy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Energy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_kurtosis_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Mean_norm_DLBP_max_timepoint_binsize_128_with_filling_Tumor,0.0,0.0,CL_UNCORR,SVM
Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Cluster_Shade_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Dissimilarity_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_kurtosis_tumor,0.0,0.0,CL_UNCORR,SVM
Washout_rate_from_char_curv,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_skewness_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_std_dev_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_30percent_from_PostCon_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
SER_Washout_tissue_vol_cu_mm_T1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_PostCon_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_3,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_moment_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_10percent_from_PostCon_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
PE_map_mean_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_30percent_from_PostCon_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_0percent_from_PostCon_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_0percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_3,0.0,0.0,CL_UNCORR,SVM
