feature,importance_mean,importance_std,dataset,model
PC1_Tumor_Enhancement_Texture,0.025596529284164903,0.005944550805225489,PC_90,SVM
PC1_FGT_Enhancement_Texture,0.02548806941431675,0.005471582757322967,PC_90,SVM
PC2_FGT_Enhancement_Texture,0.02386117136659439,0.005178887803172802,PC_90,SVM
PC1_FGT_Enhancement,0.01984815618221262,0.003971764300130255,PC_90,SVM
PC3_FGT_Enhancement_Texture,0.0186550976138829,0.005796264301903426,PC_90,SVM
PC4_Tumor_Enhancement_Texture,0.017787418655097652,0.004370811644166987,PC_90,SVM
PC1_Combining_Tumor_and_FGT_Enhancement,0.011822125813449057,0.004638482598772884,PC_90,SVM
PC1_Tumor_Enhancement,0.01160520607375275,0.0037587252605560573,PC_90,SVM
PC2_Tumor_Enhancement_Texture,0.010629067245119328,0.00405239516101287,PC_90,SVM
PC2_Tumor_Enhancement,0.010520607375271185,0.0032192672623982117,PC_90,SVM
PC7_Tumor_Enhancement_Texture,0.00943600867678962,0.003182516431913496,PC_90,SVM
PC2_FGT_Enhancement_Variation,0.009110629067245158,0.003636237443436052,PC_90,SVM
PC4_FGT_Enhancement_Texture,0.008568329718004374,0.0022464550083739687,PC_90,SVM
PC7_FGT_Enhancement_Texture,0.008351409978308078,0.002277657266811294,PC_90,SVM
PC3_Tumor_Enhancement_Texture,0.0069414316702820274,0.0020116309100858447,PC_90,SVM
PC6_Tumor_Enhancement_Texture,0.0067245119305857195,0.0018660141577099105,PC_90,SVM
PC8_FGT_Enhancement_Texture,0.006182212581344948,0.0018817084135463698,PC_90,SVM
PC5_Tumor_Enhancement_Texture,0.0060737527114967825,0.00370037355948633,PC_90,SVM
PC1_FGT_Enhancement_Variation,0.005856832971800452,0.002665554387732002,PC_90,SVM
PC4_FGT_Enhancement,0.005639913232104166,0.0022647085702625913,PC_90,SVM
PC2_FGT_Enhancement,0.0042299349240781155,0.0031602607992046723,PC_90,SVM
PC1_Tumor_Enhancement_Variation,0.004121475054229972,0.0014388827723884343,PC_90,SVM
PC1_Tumor_Size_and_Morphology,0.004013015184381819,0.002427660443123575,PC_90,SVM
PC5_FGT_Enhancement_Texture,0.0039045553145336644,0.0013889640428270573,PC_90,SVM
PC6_FGT_Enhancement_Texture,0.0036876355748373447,0.002233325410192419,PC_90,SVM
PC5_FGT_Enhancement,0.0034707158351410363,0.001518438177874177,PC_90,SVM
PC3_FGT_Enhancement,0.0026030368763557687,0.0027948153420228,PC_90,SVM
PC2_Combining_Tumor_and_FGT_Enhancement,0.0024945770065076256,0.0010900082018569532,PC_90,SVM
PC3_Tumor_Enhancement,0.0024945770065076256,0.004728900077351776,PC_90,SVM
PC3_FGT_Enhancement_Variation,0.0017353579175705236,0.001694197326660899,PC_90,SVM
PC6_FGT_Enhancement,0.0016268980477223693,0.0015529090090321575,PC_90,SVM
PC4_FGT_Enhancement_Variation,0.0015184381778742151,0.001388964042827101,PC_90,SVM
PC2_Tumor_Enhancement_Variation,0.001409978308026061,0.00109000820185696,PC_90,SVM
PC7_FGT_Enhancement,0.001409978308026061,0.0013762014685954164,PC_90,SVM
PC1_Breast_and_FGT_Volume_Features,0.0011930585683297412,0.0010232083657328447,PC_90,SVM
PC3_Tumor_Enhancement_Variation,0.0011930585683297302,0.0010232083657328458,PC_90,SVM
PC4_Combining_Tumor_and_FGT_Enhancement,0.0008676789587852562,0.0009455312241953876,PC_90,SVM
PC2_Tumor_Size_and_Morphology,0.00010845986984817647,0.0013239214333767683,PC_90,SVM
PC2_Breast_and_FGT_Volume_Features,1.1102230246251566e-17,0.0010845986984815647,PC_90,SVM
PC3_Combining_Tumor_and_FGT_Enhancement,-0.0002169197396962863,0.0017353579175704986,PC_90,SVM
PC4_Tumor_Enhancement,-0.00043383947939259484,0.0020116309100858347,PC_90,SVM
PC1_Tumor_Enhancement_Spatial_Heterogeneity,-0.0010845986984815315,0.001455141850867541,PC_90,SVM
PC2_Tumor_Enhancement_Spatial_Heterogeneity,-0.0015184381778741486,0.0013889640428270868,PC_90,SVM
PC3_Tumor_Size_and_Morphology,-0.001735357917570468,0.0013889640428270573,PC_90,SVM
Peak_SER_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
tissueVol_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_moment_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_mean_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
SER_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_90percent_from_PostCon_to_Breast_Vol,0.0,0.0,CL_UNCORR,SVM
"F1_DT_POSTCON (T11=0.2,T12=0.8)",0.0,0.0,CL_UNCORR,SVM
breastDensity_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_std_dev_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_skewness_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Prominence_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
SER_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
inverse_difference_normalized_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_skewness_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Uptake_rate_from_char_curv,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
difference_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Correlation1_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Correlation2_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Correlation1_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Correlation2_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Cluster_Shade_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
PE_map_kurtosis_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Dissimilarity_tissue_T1,0.0,0.0,CL_UNCORR,SVM
Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,0.0,0.0,CL_UNCORR,SVM
Cluster_Prominence_tissue_T1,0.0,0.0,CL_UNCORR,SVM
inverse_difference_moment_normalized_tissue_T1,0.0,0.0,CL_UNCORR,SVM
