,feature,importance_mean,importance_std
90,SER_Washout_tumor_vol_cu_mm,0.016144018583042964,0.003936922475418874
37,WashinRate_map_Correlation1_tumor,0.004994192799070818,0.0023257821596400405
108,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.0038327526132403865,0.002267040800922529
20,1st_DFT_CoeffMap_Momment_Invariant_7_3D_tumor,0.0032520325203251764,0.0016260162601625882
30,Mean_norm_DHOG_max_timepoint_binsize_8_without_filling_Tumor,0.0017421602787456303,0.0024500607560660644
54,BEDR2_Tumor,0.0013937282229965042,0.0008691422501216981
58,ASD_Tumor,0.0011614401858304202,0.0
23,BEVR_Tumor,0.0011614401858304202,0.0
62,SER_map_skewness_tumor,0.0011614401858304202,0.000899647699467453
55,"F1_DT_T1NFS (T11=0.2,T12=0.8)",0.001045296167247378,0.0006254546814325738
70,globalMoransIEnhancementVarianceMap_Tumor,0.001045296167247378,0.00034843205574912605
27,SER_map_sum_entropy_tumor,0.0009291521486643362,0.00046457607433216804
4,SER_map_Correlation2_tissue_T1,0.0009291521486643362,0.0006968641114982521
132,Correlation1_tissue_T1,0.0009291521486643362,0.0010125200798003805
196,SER_map_Cluster_Shade_tissue_T1,0.0009291521486643362,0.0012509093628651474
28,PE_map_sum_entropy_tumor,0.0008130081300812941,0.0005322387566731478
103,Enhancement_variance_decreasing_rate_Tumor,0.0008130081300812941,0.0005322387566731478
71,globalMoransISERMap_Tumor,0.0008130081300812941,0.0009071137834967004
197,SER_map_Cluster_Shade_tissue_PostCon,0.0008130081300812941,0.0005322387566731478
18,1st_DFT_CoeffMap_Momment_Invariant_5_3D_tumor,0.0006968641114982521,0.0005689871644095605
8,2nd_DFT_CoeffMap_Momment_Invariant_4_3D_tumor,0.0006968641114982521,0.0005689871644095605
109,Grouping_based_variance_of_washout_slope_3D_tumor_Group_1,0.0005807200929152101,0.001070794942775007
73,SER_map_inverse_difference_moment_normalized_tumor,0.0005807200929152101,0.0005807200929152101
42,Margin_Gradient_Tumor,0.0005807200929152101,0.0007791177621950423
153,WashinRate_map_skewness_tumor,0.0005807200929152101,0.0009363830137396613
6,Peak_SER_tumor,0.0005807200929152101,0.0005807200929152101
173,PE_map_Correlation1_tissue_T1,0.0004645760743321681,0.0005689871644095605
186,SER_map_Autocorrelation_tissue_PostCon,0.0004645760743321681,0.0005689871644095605
101,Grouping_based_variance_of_washin_slope_3D_tumor_Group_3,0.0004645760743321681,0.0007704122625680307
67,Grouping_based_proportion_of_3D_tissue_PostCon_Group_2,0.0004645760743321681,0.0005689871644095605
16,1st_DFT_CoeffMap_Momment_Invariant_4_2D_tumorSlice,0.0004645760743321681,0.0007704122625680307
242,Ratio_Tissue_vol_enhancing_more_than_0percent_from_T1_to_Tissue_Vol,0.0004645760743321681,0.0005689871644095605
140,Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,0.00034843205574912605,0.0007436845804219275
246,Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.00034843205574912605,0.0005322387566731477
43,MF_Tumor,0.00034843205574912605,0.0007436845804219275
233,SER_map_inverse_difference_normalized_tissue_PostCon,0.00034843205574912605,0.0009071137834967003
