,feature,importance_mean,importance_std
44,SER_Total_tumor_vol_cu_mm,0.025783972125435494,0.005342624854819981
30,Mean_norm_DHOG_max_timepoint_binsize_8_without_filling_Tumor,0.019163763066202034,0.004384340554744908
68,PE_map_Cluster_Shade_tumor,0.018815331010452917,0.0032353979737941943
156,Uptake_rate_from_char_curv,0.018118466898954667,0.0037527280885954867
90,SER_Washout_tumor_vol_cu_mm,0.018118466898954667,0.003568476537918023
188,SER_map_std_dev_tissue_T1,0.014866434378629468,0.0031078021278187363
205,SER_Partial_tissue_vol_cu_mm_T1,0.01022067363530772,0.002368882468568092
80,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_2,0.009872241579558605,0.002394370282007959
220,Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.00975609756097554,0.0018871169348747966
213,"F1_DT_T1NFS (T11=0.05,T12=0.8)",0.00975609756097554,0.0016588683922283108
77,SER_map_Cluster_Shade_tumor,0.009523809523809457,0.002638284945784101
7,SER_map_mean_tumor,0.009059233449477289,0.0018583042973286945
176,PE_map_Correlation1_tissue_PostCon,0.008943089430894235,0.00156255796133259
239,Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_2,0.008826945412311205,0.001957293791678603
58,ASD_Tumor,0.008130081300812941,0.002141589885550014
236,Grouping_based_proportion_of_3D_tissue_T1_Group_2,0.0080139372822299,0.0010957004799136499
94,Variance_of_Uptake_Tumor,0.007665505226480773,0.0020905923344947566
37,WashinRate_map_Correlation1_tumor,0.00743321718931469,0.0017382845002433965
6,Peak_SER_tumor,0.007317073170731647,0.001277584204413462
197,SER_map_Cluster_Shade_tissue_PostCon,0.006968641114982521,0.002011673411810526
25,SER_map_Correlation2_tumor,0.006387921022067311,0.00299507478704472
238,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_2,0.006155632984901227,0.002267040800922529
65,PE_map_difference_entropy_tumor,0.006155632984901227,0.002383076019591524
89,Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.006155632984901227,0.002015023411486333
173,PE_map_Correlation1_tissue_T1,0.006039488966318185,0.0019295293525941944
72,SER_Partial_tumor_vol_cu_mm,0.006039488966318185,0.0018583042973286722
67,Grouping_based_proportion_of_3D_tissue_PostCon_Group_2,0.005923344947735143,0.001417718422268711
34,WashinRate_map_Cluster_Shade_tumor,0.005923344947735143,0.0015967162700194436
138,PE_map_kurtosis_tissue_T1,0.005691056910569059,0.0015967162700194432
91,PE_map_inverse_difference_moment_normalized_tumor,0.005574912891986017,0.0015408245251360615
112,Grouping_based_variance_of_washout_slope_3D_tumor_Group_2,0.005458768873402975,0.0014737023856503386
4,SER_map_Correlation2_tissue_T1,0.005458768873402975,0.001277584204413462
121,WashinRate_map_Autocorrelation_tissue_T1,0.0053426248548199325,0.0015754541191928483
207,Grouping_based_mean_of_washout_slope_3D_tissue_T1_Group_2,0.005226480836236891,0.001070794942775007
140,Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,0.005226480836236891,0.002760711805808273
118,breastDensity_PostCon,0.005110336817653849,0.0013937282229965042
24,Inv_diff_moment_normalized_Tumor,0.005110336817653849,0.0017382845002433963
29,WashinRate_map_Autocorrelation_tumor,0.004994192799070807,0.00156255796133259
50,PE_map_skewness_tumor,0.004994192799070807,0.0013791338080183298
