,feature,importance_mean,importance_std
125,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_3,0.0022067363530777983,0.0006254546814325737
468,SER_map_information_measure_correlation1_tissue_PostCon,0.0022067363530777983,0.00034843205574912605
362,WashinRate_map_kurtosis_tumor,0.0019744483159117145,0.0005322387566731477
298,SER_map_sum_average_tumor,0.0019744483159117145,0.0005322387566731477
48,Median_Elongation_Tumor,0.0019744483159117145,0.0005322387566731477
246,sum_entropy_tissue_T1,0.0019744483159117145,0.0005322387566731477
311,PE_map_Autocorrelation_tumor,0.0019744483159117145,0.0007436845804219275
372,SER_map_Cluster_Prominence_tissue_T1,0.0018583042973286724,0.0005689871644095605
59,Ratio_Tissue_vol_enhancing_more_than_30percent_from_T1_to_Breast_Vol,0.0017421602787456303,0.0005807200929152101
143,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_2,0.0017421602787456303,0.0007791177621950423
357,WashinRate_map_inverse_difference_normalized_tumor,0.0017421602787456303,0.0007791177621950423
108,Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_2,0.0016260162601625882,0.0009291521486643361
316,PE_map_Cluster_Shade_tumor,0.0016260162601625882,0.0005689871644095605
228,Mean_norm_DLBP_max_timepoint_binsize_64_with_filling_Tumor,0.0016260162601625882,0.0005689871644095605
111,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_2,0.0016260162601625882,0.0005689871644095605
284,Peak_PE_tumor,0.0016260162601625882,0.0007704122625680307
142,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_1,0.0016260162601625882,0.0007704122625680307
402,PE_map_Entropy_tissue_T1,0.0016260162601625882,0.0007704122625680307
52,Uptake_rate_from_char_curv,0.0016260162601625882,0.0005689871644095605
53,Washout_rate_from_char_curv,0.0016260162601625882,0.0007704122625680307
28,Correlation2_Tumor,0.0016260162601625882,0.0005689871644095605
398,PE_map_Cluster_Prominence_tissue_T1,0.0015098722415795463,0.0007436845804219275
248,information_measure_correlation1_tissue_T1,0.0015098722415795463,0.0007436845804219275
401,PE_map_Energy_tissue_T1,0.0015098722415795463,0.0005322387566731478
144,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_3,0.0015098722415795463,0.0005322387566731478
