,feature,importance_mean,importance_std
37,WashinRate_map_Correlation1_tumor,0.0036004645760743027,0.002912877167011463
57,Volume_cu_mm_Tumor,0.0034843205574912606,0.001374234560534162
90,SER_Washout_tumor_vol_cu_mm,0.0034843205574912606,0.0031594588870465347
196,SER_map_Cluster_Shade_tissue_T1,0.0025551684088269246,0.0031934325400388864
30,Mean_norm_DHOG_max_timepoint_binsize_8_without_filling_Tumor,0.0025551684088269246,0.0021289550266925914
239,Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_2,0.0022067363530777983,0.0013191424728920388
62,SER_map_skewness_tumor,0.002090592334494756,0.003064089653489619
108,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.002090592334494756,0.002064621235148784
246,Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.0016260162601625882,0.0010644775133462957
74,Peak_PE_tumor,0.0015098722415795463,0.0013791338080183298
55,"F1_DT_T1NFS (T11=0.2,T12=0.8)",0.0013937282229965042,0.001137974328819121
16,1st_DFT_CoeffMap_Momment_Invariant_4_2D_tumorSlice,0.0013937282229965042,0.0008691422501216981
193,WashinRate_map_inverse_difference_normalized_tumor,0.0013937282229965042,0.0006968641114982521
250,WashinRate_map_std_dev_tissue_PostCon,0.0012775842044134623,0.0008130081300812941
148,Cluster_Shade_tissue_PostCon,0.0012775842044134623,0.0010957004799136499
81,Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_1,0.0011614401858304202,0.0015582355243900846
213,"F1_DT_T1NFS (T11=0.05,T12=0.8)",0.0011614401858304202,0.0005194118414633615
96,Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_2,0.001045296167247378,0.0015967162700194432
210,"F1_DT_T1NFS (T11=0.1,T12=0.8)",0.001045296167247378,0.00034843205574912605
99,Median_Elongation_Tumor,0.0009291521486643362,0.0017842382689590116
191,PE_map_mean_tissue_T1,0.0009291521486643362,0.0012509093628651474
61,Diff_entropy_Tumor,0.0009291521486643362,0.00046457607433216804
201,PE_map_Cluster_Shade_tissue_PostCon,0.0009291521486643362,0.0008691422501216981
243,Grouping_based_proportion_of_tumor_voxels_2D_tumorSlice_Group_3,0.0009291521486643362,0.0014506383271540876
199,Peak_PE_tissue_T1,0.0008130081300812941,0.0010452961672473783
6,Peak_SER_tumor,0.0006968641114982521,0.0007704122625680307
245,Grouping_based_proportion_of_3D_tissue_T1_Group_3,0.0006968641114982521,0.0005689871644095605
168,Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Breast_Vol,0.0006968641114982521,0.0005689871644095605
175,SER_map_kurtosis_tissue_T1,0.0005807200929152101,0.0005807200929152101
91,PE_map_inverse_difference_moment_normalized_tumor,0.0005807200929152101,0.0005807200929152101
