predictor,dataset,ElasticNet,LASSO,LogisticRegression,MLP,RandomForest,SVM,XGBoost,Clustering,Superlearner,GMM,K-Means
ER,ALL_IMG,0.5988682217677300,0.5988682217677300,0.5947639710353210,0.501903571,0.643994251,0.537504837,0.630724532,0.6119,0.5945,0.6041,0.5882
ER,ALL_IMG_with_clin,0.5913275613275610,0.5913275613275610,0.5954040404040410,0.501136364,0.617121212,0.535137085,0.654570707,0.5571,0.5887,0.5416,0.5672
ER,CL_UNCORR,0.5950334420430050,0.5950334420430050,0.5969888342269640,0.545671881,0.63052761,0.501907026,0.642087226,0.6119,0.6051,0.6041,0.5882
ER,CL_UNCORR_with_clin,0.5842857142857140,0.5842857142857140,0.5830952380952380,0.556291486,0.62958153,0.510779221,0.660750361,0.5571,0.5981,0.5416,0.5672
ER,PC1,0.6026523200079060,0.6026523200079060,0.6048080249048770,0.618977615,0.570903543,0.567493947,0.570888101,0.618,0.532,0.6214,0.5733
ER,PC1_3,0.6026523200079060,0.6026523200079060,0.6048080249048770,0.586907644,0.586086129,0.567493947,0.570888101,0.618,0.5433,0.6214,0.5733
ER,PC1_3_with_clin,0.6135732727660980,0.6135732727660980,0.6134826807472550,0.534732333,0.601388646,0.522787128,0.601090987,0.5886,0.5615,0.5781,0.5735
ER,PC1_with_clin,0.6023204498540820,0.6023204498540820,0.605678825409767,0.497670491,0.574437521,0.50599525,0.577867076,0.5886,0.5724,0.5781,0.5735
ER,PC_90,0.6243576122943120,0.6146229678312000,0.6237769926372490,0.602368187,0.601707269,0.603603548,0.622124697,0.618,0.557,0.6214,0.5733
ER,PC_90_with_clin,0.6107649201819610,0.6107649201819610,0.6218171464808240,0.501164755,0.613857991,0.520347615,0.608034218,0.5886,0.5542,0.5781,0.5735
ER,VARS_IN_PC1,0.46901097000543600,0.46901097000543600,0.45821391510599400,0.500484879,0.557827247,0.50775189,0.553948214,0.618,0.5412,0.6214,0.5733
ER,VARS_IN_PC1_with_clin,0.5765534913516980,0.5765534913516980,0.575971114087706,0.5,0.570127929,0.517571616,0.550055326,0.5886,0.5013,0.5781,0.5735
ER,VARS_IN_PC_1_3,0.5862860324137080,0.5862860324137080,0.5868118272918470,0.489759372,0.589119139,0.483403439,0.56982556,0.5985,0.577,0.5961,0.5737
