predictor,dataset,ElasticNet,LASSO,LogisticRegression,MLP,RandomForest,SVM,XGBoost
ER,ALL_IMG,0.5988682217677298,0.5988682217677298,0.5947639710353214,0.5019035708363275,0.6208266541374164,0.5375048366591122,0.6307245315350174
ER,ALL_IMG_with_clin,0.5913275613275614,0.5913275613275614,0.5954040404040405,0.5011363636363636,0.6171212121212122,0.535137085137085,0.654570707070707
ER,CL_UNCORR,0.5950334420430048,0.5950334420430048,0.5969888342269637,0.5456718810458239,0.6305276104140181,0.5019070255928362,0.6420872256923333
ER,CL_UNCORR_with_clin,0.5842857142857143,0.5842857142857143,0.5830952380952381,0.5562914862914863,0.6295815295815296,0.5107792207792208,0.6607503607503606
ER,PC1,0.6026523200079063,0.6026523200079063,0.6048080249048773,0.6189776152591788,0.570903543015269,0.5674939467312349,0.570888101003113
ER,PC1_3,0.6026523200079063,0.6026523200079063,0.6048080249048773,0.5869076444136977,0.586086129367001,0.5674939467312349,0.570888101003113
ER,PC1_3_with_clin,0.6135732727660979,0.6135732727660979,0.6134826807472546,0.5347323329386109,0.6013886462316955,0.5227871281682941,0.6010909867412111
ER,PC1_with_clin,0.6023204498540822,0.6023204498540822,0.605678825409767,0.49767049094403354,0.5744375206258614,0.5059952503898693,0.5778670756249231
ER,PC_90,0.6243576122943124,0.6146229678312003,0.6237769926372487,0.6023681869842368,0.601707268863962,0.603603547956713,0.6221246973365617
ER,PC_90_with_clin,0.6107649201819605,0.6107649201819605,0.6218171464808235,0.5011647545279833,0.6138579905396049,0.5203476145180181,0.6080342178996887
ER,VARS_IN_PC1,0.46901097000543557,0.46901097000543557,0.45821391510599396,0.5014052231061916,0.579384296091318,0.5077518901022878,0.5419405050155656
ER,VARS_IN_PC1_with_clin,0.5765534913516976,0.5765534913516976,0.575971114087706,0.49999999999999994,0.5701279288723236,0.5175716162263247,0.5500553258400792
ER,VARS_IN_PC_1_3,0.5862860324137078,0.5862860324137078,0.5868118272918471,0.4897593715204751,0.5891191389335643,0.48340343931708524,0.5698255598168998
ER,VARS_IN_PC_1_3_with_clin,0.5877595458433782,0.5877595458433782,0.586722658578946,0.5002819037250175,0.5738782175907924,0.5226365450916349,0.5472755787127045
ER,VARS_IN_PC_90,0.5892742095351372,0.5892742095351372,0.5880290415303796,0.4965215829120825,0.5777145901476857,0.4947405590246803,0.5726998463673307
ER,VARS_IN_PC_90_with_clin,0.5807550770069511,0.5807550770069511,0.5809368043251102,0.5052246603970743,0.5668399566450542,0.5216028349461633,0.5699682626219358
HER2,ALL_IMG,0.5247492662549291,0.5247492662549291,0.5247492662549291,0.5008822946864252,0.5348776491348111,0.47853683130165475,0.5484721897113636
HER2,ALL_IMG_with_clin,0.5288474262273389,0.5288474262273389,0.5287812624057165,0.5597648348740052,0.5597081230269003,0.500831773757538,0.5351991531030832
HER2,CL_UNCORR,0.4569566235122531,0.4569566235122531,0.45482291085222465,0.4945576822658767,0.5184921763869133,0.49896465419450103,0.5452941282388317
HER2,CL_UNCORR_with_clin,0.4628726440953515,0.4628726440953515,0.48821338777670653,0.5054963231819127,0.5406104085143386,0.4985822038223785,0.5548120002268474
HER2,PC1,0.5868474017313707,0.5868474017313707,0.5868474017313707,0.5859986905599068,0.5452484298843329,0.4804432697204103,0.5491807916454489
HER2,PC1_3,0.5868474017313707,0.5868474017313707,0.5868474017313707,0.540588601404819,0.5475439915290542,0.4804432697204103,0.5491807916454489
HER2,PC1_3_with_clin,0.6132287661582597,0.6132287661582597,0.6191361325422894,0.4984722328317165,0.5836494962612142,0.49865471613237256,0.5869851212452999
HER2,PC1_with_clin,0.6083823491966491,0.6083823491966491,0.6218097250867857,0.5030555343365671,0.5741094390548214,0.4549690627148423,0.5683633369829993
