predictor,dataset,model,auc
ER,ALL_IMG,ElasticNet,0.598868222
ER,ALL_IMG_with_clin,ElasticNet,0.591327561
ER,CL_UNCORR,ElasticNet,0.595033442
ER,PC1_3,ElasticNet,0.60265232
ER,PC1_3_with_clin,ElasticNet,0.613573273
ER,VARS_IN_PC_1_3,ElasticNet,0.586286032
HER2,ALL_IMG,ElasticNet,0.524749266
HER2,ALL_IMG_with_clin,ElasticNet,0.528847426
HER2,CL_UNCORR,ElasticNet,0.456956624
HER2,PC1_3,ElasticNet,0.586847402
HER2,PC1_3_with_clin,ElasticNet,0.613228766
HER2,VARS_IN_PC_1_3,ElasticNet,0.588277191
PR,ALL_IMG,ElasticNet,0.614368835
PR,ALL_IMG_with_clin,ElasticNet,0.598433554
PR,CL_UNCORR,ElasticNet,0.586337772
PR,PC1_3,ElasticNet,0.610873694
PR,PC1_3_with_clin,ElasticNet,0.600824626
PR,VARS_IN_PC_1_3,ElasticNet,0.595694522
ER,ALL_IMG,MLP,0.501903571
ER,ALL_IMG_with_clin,MLP,0.501136364
ER,CL_UNCORR,MLP,0.545671881
ER,PC1_3,MLP,0.586907644
ER,PC1_3_with_clin,MLP,0.534732333
ER,VARS_IN_PC_1_3,MLP,0.489759372
HER2,ALL_IMG,MLP,0.500882295
HER2,ALL_IMG_with_clin,MLP,0.559764835
HER2,CL_UNCORR,MLP,0.494557682
HER2,PC1_3,MLP,0.540588601
HER2,PC1_3_with_clin,MLP,0.498472233
HER2,VARS_IN_PC_1_3,MLP,0.497074154
PR,ALL_IMG,MLP,0.588013922
PR,ALL_IMG_with_clin,MLP,0.555161097
PR,CL_UNCORR,MLP,0.561522003
PR,PC1_3,MLP,0.616742021
PR,PC1_3_with_clin,MLP,0.499724042
PR,VARS_IN_PC_1_3,MLP,0.495104121
ER,ALL_IMG,RandomForest,0.643994251
ER,ALL_IMG_with_clin,RandomForest,0.617121212
ER,CL_UNCORR,RandomForest,0.63052761
ER,PC1_3,RandomForest,0.586086129
ER,PC1_3_with_clin,RandomForest,0.601388646
ER,VARS_IN_PC_1_3,RandomForest,0.589119139
HER2,ALL_IMG,RandomForest,0.534877649
HER2,ALL_IMG_with_clin,RandomForest,0.559708123
HER2,CL_UNCORR,RandomForest,0.518492176
HER2,PC1_3,RandomForest,0.547543992
HER2,PC1_3_with_clin,RandomForest,0.583649496
HER2,VARS_IN_PC_1_3,RandomForest,0.542305389
PR,ALL_IMG,RandomForest,0.654648912
PR,ALL_IMG_with_clin,RandomForest,0.635709842
PR,CL_UNCORR,RandomForest,0.646346867
PR,PC1_3,RandomForest,0.588809406
PR,PC1_3_with_clin,RandomForest,0.611987382
PR,VARS_IN_PC_1_3,RandomForest,0.582201129
ER,ALL_IMG,XGBoost,0.630724532
ER,ALL_IMG_with_clin,XGBoost,0.654570707
ER,CL_UNCORR,XGBoost,0.642087226
ER,PC1_3,XGBoost,0.570888101
ER,PC1_3_with_clin,XGBoost,0.601090987
ER,VARS_IN_PC_1_3,XGBoost,0.56982556
HER2,ALL_IMG,XGBoost,0.54847219
HER2,ALL_IMG_with_clin,XGBoost,0.535199153
HER2,CL_UNCORR,XGBoost,0.545294128
HER2,PC1_3,XGBoost,0.549180792
HER2,PC1_3_with_clin,XGBoost,0.586985121
HER2,VARS_IN_PC_1_3,XGBoost,0.559099665
PR,ALL_IMG,XGBoost,0.649407663
PR,ALL_IMG_with_clin,XGBoost,0.649221047
PR,CL_UNCORR,XGBoost,0.672226627
PR,PC1_3,XGBoost,0.596479004
PR,PC1_3_with_clin,XGBoost,0.620320219
PR,VARS_IN_PC_1_3,XGBoost,0.58699878
ER,ALL_IMG,Superlearner,0.5945
ER,ALL_IMG_with_clin,Superlearner,0.5887
ER,CL_UNCORR,Superlearner,0.6051
ER,PC1_3,Superlearner,0.5433
ER,PC1_3_with_clin,Superlearner,0.5615
ER,VARS_IN_PC_1_3,Superlearner,0.577
HER2,ALL_IMG,Superlearner,0.5102
HER2,ALL_IMG_with_clin,Superlearner,0.5051
HER2,CL_UNCORR,Superlearner,0.5424
HER2,PC1_3,Superlearner,0.5481
HER2,PC1_3_with_clin,Superlearner,0.58
HER2,VARS_IN_PC_1_3,Superlearner,0.5053
PR,ALL_IMG,Superlearner,0.6206
PR,ALL_IMG_with_clin,Superlearner,0.6125
PR,CL_UNCORR,Superlearner,0.5757
PR,PC1_3,Superlearner,0.5688
PR,PC1_3_with_clin,Superlearner,0.5675
PR,VARS_IN_PC_1_3,Superlearner,
ER,ALL_IMG,Clustering,0.6119
ER,ALL_IMG_with_clin,Clustering,0.5571
ER,CL_UNCORR,Clustering,0.6119
ER,PC1_3,Clustering,0.618
ER,PC1_3_with_clin,Clustering,0.5886
ER,VARS_IN_PC_1_3,Clustering,0.5985
HER2,ALL_IMG,Clustering,0.5677
HER2,ALL_IMG_with_clin,Clustering,0.5801
HER2,CL_UNCORR,Clustering,0.5677
HER2,PC1_3,Clustering,0.5641
HER2,PC1_3_with_clin,Clustering,0.5907
HER2,VARS_IN_PC_1_3,Clustering,0.5883
PR,ALL_IMG,Clustering,0.6186
PR,ALL_IMG_with_clin,Clustering,0.5807
PR,CL_UNCORR,Clustering,0.6186
PR,PC1_3,Clustering,0.6064
PR,PC1_3_with_clin,Clustering,0.6038
PR,VARS_IN_PC_1_3,Clustering,0.6036
