,,0
1st_DFT_CoeffMap_Momment_Invariant_7_3D_tumor,SER_Washout_tumor_vol_cu_mm,0.008246551
SER_Washout_tumor_vol_cu_mm,1st_DFT_CoeffMap_Momment_Invariant_7_3D_tumor,0.008246549
SER_Washout_tumor_vol_cu_mm,Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.0051652435
Grouping_based_variance_of_peak_enhancement_slope_3D_tissue_T1_Group_1,SER_Washout_tumor_vol_cu_mm,0.005165243
1st_DFT_CoeffMap_Momment_Invariant_7_3D_tumor,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.005102817
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,1st_DFT_CoeffMap_Momment_Invariant_7_3D_tumor,0.0051028165
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_1,SER_Washout_tumor_vol_cu_mm,0.0048531676
SER_Washout_tumor_vol_cu_mm,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.0048531657
Mean_norm_DHOG_max_timepoint_binsize_4_with_filling_Tumor,SER_Washout_tumor_vol_cu_mm,0.0048420066
SER_Washout_tumor_vol_cu_mm,Mean_norm_DHOG_max_timepoint_binsize_4_with_filling_Tumor,0.0048420066
SER_Washout_tumor_vol_cu_mm,Correlation1_tissue_T1,0.0045715636
Correlation1_tissue_T1,SER_Washout_tumor_vol_cu_mm,0.004571562
SER_Washout_tumor_vol_cu_mm,globalMoransISERMap_Tumor,0.0044494923
globalMoransISERMap_Tumor,SER_Washout_tumor_vol_cu_mm,0.004449492
SER_map_information_measure_correlation1_tumor,Mean_norm_DHOG_max_timepoint_binsize_4_with_filling_Tumor,0.0043543014
Mean_norm_DHOG_max_timepoint_binsize_4_with_filling_Tumor,SER_map_information_measure_correlation1_tumor,0.004354301
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,SER_map_Cluster_Shade_tissue_PostCon,0.004188967
SER_map_Cluster_Shade_tissue_PostCon,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.0041889655
ASD_Tumor,SER_Washout_tumor_vol_cu_mm,0.004093769
SER_Washout_tumor_vol_cu_mm,ASD_Tumor,0.004093768
SER_Washout_tumor_vol_cu_mm,Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.0039433497
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_1,SER_Washout_tumor_vol_cu_mm,0.0039433483
Correlation1_tissue_T1,Homogeneity1_tissue_T1,0.0036953944
Homogeneity1_tissue_T1,Correlation1_tissue_T1,0.003695394
SER_map_Cluster_Prominence_tissue_PostCon,SER_Washout_tumor_vol_cu_mm,0.0036102647
SER_Washout_tumor_vol_cu_mm,SER_map_Cluster_Prominence_tissue_PostCon,0.0036102643
Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_1,SER_Washout_tumor_vol_cu_mm,0.0034316594
SER_Washout_tumor_vol_cu_mm,Grouping_based_variance_of_washin_slope_3D_tissue_T1_Group_1,0.003431659
SER_Washout_tumor_vol_cu_mm,Homogeneity1_tissue_T1,0.0032021052
Homogeneity1_tissue_T1,SER_Washout_tumor_vol_cu_mm,0.003202105
"F1_DT_T1NFS (T11=0.2,T12=0.8)",SER_Washout_tumor_vol_cu_mm,0.0030961374
SER_Washout_tumor_vol_cu_mm,"F1_DT_T1NFS (T11=0.2,T12=0.8)",0.003096136
Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,SER_Washout_tumor_vol_cu_mm,0.0029847657
SER_Washout_tumor_vol_cu_mm,Mean_norm_DLBP_max_timepoint_binsize_256_with_filling_Tumor,0.002984765
SER_Washout_tumor_vol_cu_mm,Homogeneity2_tissue_T1,0.002966245
Homogeneity2_tissue_T1,SER_Washout_tumor_vol_cu_mm,0.0029662433
SER_Washout_tumor_vol_cu_mm,SER_map_Cluster_Shade_tissue_T1,0.002869461
SER_map_Cluster_Shade_tissue_T1,SER_Washout_tumor_vol_cu_mm,0.0028694598
SER_Washout_tumor_vol_cu_mm,SER_map_information_measure_correlation1_tumor,0.0027151923
SER_map_information_measure_correlation1_tumor,SER_Washout_tumor_vol_cu_mm,0.002715191
WashinRate_map_Cluster_Prominence_tumor,WashinRate_map_Homogeneity2_tissue_T1,0.0027089922
WashinRate_map_Homogeneity2_tissue_T1,WashinRate_map_Cluster_Prominence_tumor,0.002708992
SER_Partial_tumor_vol_cu_mm,Homogeneity2_tissue_T1,0.002589259
Homogeneity2_tissue_T1,SER_Partial_tumor_vol_cu_mm,0.0025892588
SER_Washout_tumor_vol_cu_mm,WashinRate_map_Cluster_Shade_tumor,0.0025714287
WashinRate_map_Cluster_Shade_tumor,SER_Washout_tumor_vol_cu_mm,0.0025714275
WashinRate_map_difference_entropy_tumor,SER_Washout_tumor_vol_cu_mm,0.0025474078
SER_Washout_tumor_vol_cu_mm,WashinRate_map_difference_entropy_tumor,0.0025474066
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,SER_map_mean_tumor,0.0024794715
SER_map_mean_tumor,Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.0024794713
