dataset,model,cv_accuracy
PC1,RandomForest,0.29591621905666937
PC1,RandomForest-Weighted,0.11049933548509588
PC1,XGBoost,0.2701526243242243
PC1,MLP,0.2985203423051098
PC1_3,RandomForest,0.25137466047386736
PC1_3,RandomForest-Weighted,0.6351813176381241
PC1_3,XGBoost,0.26332701141136367
PC1_3,MLP,0.2976245204823939
PC_90,RandomForest,0.2821250613454515
PC_90,RandomForest-Weighted,0.11773938358331752
PC_90,XGBoost,0.2951851930140787
PC_90,MLP,0.2937184861524709
ALL_IMG,RandomForest,0.2815412894348525
ALL_IMG,RandomForest-Weighted,0.5944560470856275
ALL_IMG,XGBoost,0.3131973801051475
ALL_IMG,MLP,0.3006253713706286
VARS_IN_PC1,RandomForest,0.26336449334701856
VARS_IN_PC1,RandomForest-Weighted,0.4228782988418454
VARS_IN_PC1,XGBoost,0.2704474943950508
VARS_IN_PC1,MLP,0.25320645076528703
VARS_IN_PC_1_3,RandomForest,0.2577042331002565
VARS_IN_PC_1_3,RandomForest-Weighted,0.1046389469020948
VARS_IN_PC_1_3,XGBoost,0.27277136083388126
VARS_IN_PC_1_3,MLP,0.2775813118341523
VARS_IN_PC_90,RandomForest,0.2707186394542483
VARS_IN_PC_90,RandomForest-Weighted,0.11337257135624328
VARS_IN_PC_90,XGBoost,0.26008795069791774
VARS_IN_PC_90,MLP,0.26428763805392225
